,cash
1951,145.0
1952,165.0
1953,160.0
1954,160.0
1955,160.0
1956,190.0
1957,180.0
1958,180.0
1959,180.0
1960,170.0
1961,170.0
1962,170.0
1963,230.0
1964,220.0
1965,220.0
1966,220.0
1967,220.0
1968,210.0
1969,210.0
1970,210.0
1971,240.0
1972,230.0
1973,220.0
1974,220.0
1975,295.0
1976,285.0
1977,285.0
1978,285.0
1979,275.0
1980,265.0
1981,265.0
1982,265.0
1983,260.0
1984,255.0
1985,255.0
1986,255.0
1987,255.0
1988,245.0
1989,245.0
1990,245.0
1991,295.0
1992,310.0
1993,300.0
1994,300.0
1995,300.0
1996,335.0
1997,325.0
1998,325.0
1999,325.0
2000,325.0
2001,340.0
2002,330.0
2003,330.0
2004,330.0
2005,320.0
2006,320.0
2007,310.0
2008,310.0
2009,305.0
2010,300.0
2011,300.0
2012,300.0
2013,300.0
2014,290.0
2015,290.0
2016,270.0
2017,270.0
2018,270.0
2019,270.0
2020,260.0
2021,260.0
2022,260.0
2023,190.0
2024,180.0
2025,220.0
2026,205.0
2027,205.0
2028,165.0
2029,165.0
2030,165.0
2031,165.0
2032,165.0
2033,135.0
2034,125.0
2035,125.0
2036,105.0
2037,95.0
2038,75.0
2039,55.0
2040,45.0
2041,45.0
2042,45.0
2043,110.0
2044,125.0
2045,115.0
2046,105.0
2047,105.0
2048,165.0
2049,155.0
2050,155.0
2051,145.0
2052,145.0
2053,125.0
2054,125.0
2055,65.0
2056,55.0
2057,45.0
2058,35.0
2059,15.0
2060,10.0
2061,5.0
2062,5.0
2063,5.0
2064,5.0
2065,5.0
2066,5.0
2067,200.0
2068,190.0
2069,180.0
2070,160.0
2071,265.0
2072,245.0
2073,235.0
2074,215.0
2075,195.0
2076,195.0
2077,175.0
2078,165.0
2079,145.0
2080,320.0
2081,300.0
2082,290.0
2083,290.0
2084,270.0
2085,250.0
2086,230.0
2087,190.0
2088,170.0
2089,170.0
2090,150.0
2091,140.0
2092,120.0
2093,285.0
2094,265.0
2095,255.0
2096,245.0
2097,235.0
2098,215.0
2099,415.0
2100,400.0
2101,390.0
2102,370.0
2103,530.0
2104,510.0
2105,490.0
2106,490.0
2107,645.0
2108,660.0
2109,640.0
2110,630.0
2111,610.0
2112,610.0
2113,590.0
2114,580.0
2115,560.0
2116,665.0
2117,665.0
2118,645.0
2119,635.0
2120,625.0
2121,625.0
2122,850.0
2123,830.0
2124,830.0
2125,830.0
2126,820.0
2127,800.0
